Heptano,
% T,Número de ondas
"3,735.00",99.60508
"3,734.00",99.546327
"3,733.00",99.374883
"3,732.00",99.201166
"3,731.00",99.093813
"3,730.00",99.054551
"3,729.00",99.053966
"3,728.00",99.065101
"3,727.00",99.07857
"3,726.00",99.109274
"3,725.00",99.175089
"3,724.00",99.28103
"3,723.00",99.418467
"3,722.00",99.564846
"3,721.00",99.692493
"3,720.00",99.773972
"3,719.00",99.789894
"3,718.00",99.744176
"3,717.00",99.672795
"3,716.00",99.619367
"3,715.00",99.592243
"3,714.00",99.547414
"3,713.00",99.439319
"3,712.00",99.330367
"3,711.00",99.32255
"3,710.00",99.366471
"3,709.00",99.395285
"3,708.00",99.427208
"3,707.00",99.489506
"3,706.00",99.587148
"3,705.00",99.717565
"3,704.00",99.863295
"3,703.00",99.976368
"3,702.00",100.003009
"3,701.00",99.940455
"3,700.00",99.850099
"3,699.00",99.792274
"3,698.00",99.775999
"3,697.00",99.771532
"3,696.00",99.750856
"3,695.00",99.712467
"3,694.00",99.674065
"3,693.00",99.647086
"3,692.00",99.616122
"3,691.00",99.589137
"3,690.00",99.610652
"3,689.00",99.64476
"3,688.00",99.622731
"3,687.00",99.58139
"3,686.00",99.577396
"3,685.00",99.610675
"3,684.00",99.652989
"3,683.00",99.692172
"3,682.00",99.73184
"3,681.00",99.758944
"3,680.00",99.753395
"3,679.00",99.731888
"3,678.00",99.742181
"3,677.00",99.811927
"3,676.00",99.86296
"3,675.00",99.759588
"3,674.00",99.522676
"3,673.00",99.304008
"3,672.00",99.176582
"3,671.00",99.20288
"3,670.00",99.379863
"3,669.00",99.541729
"3,668.00",99.614463
"3,667.00",99.66147
"3,666.00",99.717662
"3,665.00",99.774175
"3,664.00",99.813025
"3,663.00",99.822569
"3,662.00",99.79654
"3,661.00",99.738176
"3,660.00",99.665373
"3,659.00",99.598811
"3,658.00",99.54664
"3,657.00",99.498673
"3,656.00",99.452709
"3,655.00",99.433854
"3,654.00",99.473807
"3,653.00",99.574098
"3,652.00",99.648654
"3,651.00",99.537525
